,track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
25,3J19l4hOfwFFIF715BwVcG,Anthem for the Year 2000,Silverchair,52,0.325,0.768,2,-7.51,1,0.0491,0.0426,4.04e-06,0.27,0.454,176.6,4.13,4
26,3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,Nelly,79,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,4.86,4
27,4f3OiZy8cx067GxmOpkukb,Year 2000,Freaky Chakra,2,0.721,0.847,6,-11.491,0,0.0487,0.000432,0.768,0.377,0.864,134.03,6.81,4
28,51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),Deftones,77,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,4.99,4
29,1RDcl6IT9uKWD7TtYqcNe3,Anthem for the Year 2000 - Single Version,Silverchair,21,0.334,0.824,2,-6.904,1,0.042,0.029,0.0,0.0466,0.681,177.283,3.71,4
30,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,86,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,3.63,4
31,6DGK3Kp1lpYZzsfuZJ7ZlL,Penetrate,Godhead,43,0.58,0.843,2,-6.602,1,0.0866,0.000817,0.573,0.074,0.376,149.639,4.31,4
32,40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed,79,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,4.65,4
33,4fyV63qRMeblmsU8MwJ7YA,The Year 2000,The Phenomenauts,11,0.478,0.961,4,-4.976,1,0.214,0.116,0.754,0.39,0.843,145.416,2.82,4
34,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,74,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,4.03,4
35,5h14bkosMTpZfu2OQSiuY7,2000 Light Years Away,Green Day,39,0.206,0.99,10,-3.565,1,0.13,0.00176,8.07e-05,0.335,0.666,187.433,2.41,4
36,3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,Shaggy,81,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,3.79,4
37,2JvBtZGXmCbQmZHMNuXzTv,Year 2000,BPR,11,0.768,0.726,8,-11.553,0,0.619,0.133,0.0,0.375,0.812,174.292,4.33,4
38,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,75,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,3.34,4
39,4Jwl5yvFgWsky5KEzFQ6nk,2000 Light Years Away - BBC Live Session,Green Day,37,0.27,0.977,10,-4.861,1,0.119,0.00235,1.12e-06,0.235,0.644,190.131,2.64,4
40,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,82,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,3.52,4
41,0FEVCcvURzjBH3j7goP9TA,Year 2000,Big Steve,2,0.847,0.579,7,-9.444,1,0.25,0.0198,0.0,0.353,0.653,80.956,4.19,4
42,3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Linkin Park,80,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,2.62,4
43,5pKfdLCJS82PGbcl6wRImx,Take Five - Buddha Remastered - 2000,Chet Atkins,40,0.419,0.122,4,-22.362,0,0.0393,0.992,0.923,0.102,0.446,162.632,2.71,5
44,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Nelly,73,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,4.78,4
45,5ShHK5jAB2MHbsWQhdOLyQ,Year 2000,Big Steve featuring Wreckshop Boyz,1,0.869,0.463,9,-12.582,1,0.496,0.000992,0.0,0.216,0.607,133.172,4.91,4
46,6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",Outkast,75,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028,4.0,3
47,0OzRwhv4HwIlMTabLvt0bE,Canned Heat - Buddha Remastered - 2000,Chet Atkins & His Colorado Mountain Boys,33,0.732,0.311,9,-12.855,1,0.13,0.863,0.856,0.113,0.885,124.942,2.55,4
48,23wfXwnsPZYe5A1xXRHb3J,The Way I Am,Eminem,77,0.785,0.871,4,-2.692,0,0.265,0.144,0.0,0.309,0.315,87.248,4.84,4
49,4c6wn7JzXWHWrPc25OK1jz,Year 2000,Sehven,1,0.654,0.842,11,-6.608,0,0.382,0.277,0.0,0.398,0.671,89.889,2.16,4
50,4KoecuyOpZaNFZ0UqVsllc,Follow Me,Uncle Kracker,75,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,3.64,4
51,5UPZmTuQtCF9lKpuyEO8hQ,The Reckoning,Godhead,38,0.597,0.655,11,-7.859,0,0.0677,0.00305,0.0757,0.11,0.0674,122.559,4.0,4
52,0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,Lifehouse,70,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,3.6,4
53,12pthRTC7aANsl9v6p4WUq,Year 2000,Smith & Mighty,6,0.704,0.579,4,-13.602,1,0.0429,0.0515,0.00141,0.0781,0.816,171.991,5.77,4
54,57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,78,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,3.48,4
55,2LQT5WvvnW7M81wiE0XwQp,2000 Light Years Away,Hazardous Punk Architects,28,0.51,0.908,6,-6.117,1,0.0612,0.0143,0.0,0.159,0.621,89.996,2.67,4
56,3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),Limp Bizkit,78,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,3.56,4
57,484SW7IKCtExZW31jvIkSD,Year 2000,Die Toten Hosen,14,0.432,0.891,4,-3.073,0,0.0367,0.00113,0.0,0.14,0.467,97.799,3.6,4
58,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,Lee Ann Womack,70,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,4.91,4
59,2EHmcprI7x6Nr4BL11MS3a,Year 3000,Busted,33,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,3.27,4
60,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,Bon Jovi,83,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,3.74,4
61,42fS6yXAqYNcKS7RsLzPI3,Year 2000,Big Steve featuring Wreckshop Boyz,0,0.832,0.58,7,-9.464,1,0.325,0.0172,0.0,0.356,0.654,80.943,4.19,4
62,3Fzlg5r1IjhLk2qRw667od,Dancing in the Moonlight,Toploader,79,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,3.88,4
63,7iwS6O8EY7DarEZ2oAeRwP,Millennium Anthem (2000 New Years Eve),Jay Tholen,23,0.413,0.617,2,-12.259,0,0.037,0.0893,0.00761,0.0786,0.242,114.97,4.75,4
64,1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Linkin Park,77,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,3.08,4
65,6F4CAPooAigdxD4eg3KZig,Year 2000,Popsie,3,0.691,0.939,10,-5.545,1,0.098,0.0136,0.0,0.145,0.879,126.126,2.63,4
66,7FDV5ELOJHCGLe52AnttEd,Angel,Shaggy,76,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,3.92,4
67,2KVLDuZRKlBCsqLt75JFoo,Windy And Warm - Buddha Remastered - 2000,Chet Atkins,28,0.716,0.245,0,-14.738,0,0.0381,0.971,0.943,0.13,0.664,75.222,2.49,4
68,0aym2LBJBk9DAYuHHutrIl,Hey Jude - Remastered 2015,The Beatles,78,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,7.09,4
69,3wzMRakqH6SxGFfFw2xQdX,Year 2000,Loops & Topology,0,0.539,0.586,11,-8.027,0,0.045,0.916,0.01,0.108,0.477,126.984,1.23,3
70,587p8shYuTXUhThG3t9x60,El Amor Soñado,Los Tucanes De Tijuana,77,0.665,0.599,7,-5.082,1,0.0264,0.222,0.0,0.123,0.629,142.975,2.74,4
71,6lzXmBxWgzUbBX90IqzAjO,The Man That Got Away - Live At Carnegie Hall/1961/2000 Digital Remaster,Judy Garland,28,0.197,0.224,0,-13.69,1,0.0411,0.868,0.0,0.809,0.119,181.128,4.77,3
72,1yxJIFPhP2EqnQ6oWJKbmP,Mis Tres Viejas,Los Tucanes De Tijuana,74,0.92,0.629,10,-4.717,1,0.0343,0.523,0.0,0.116,0.968,98.865,2.71,4
73,6X8ku85O7slEKwSpdR2A3S,Year 2000,Jane Kennaway,0,0.633,0.414,0,-15.714,1,0.0301,0.543,0.00145,0.0721,0.789,133.487,3.55,4
74,3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,Nine Days,71,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,3.16,4
75,6yq8I9ItbjhiGYkfhCEJhA,Forgotten Years - Remastered,Midnight Oil,44,0.549,0.907,11,-6.355,0,0.0582,0.036,1.79e-05,0.107,0.664,152.253,4.39,4
76,7lgvU7WnwcNZ8dbGUz8yhP,Bitch Please II,Eminem,76,0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,4.8,4
77,2GsT6iC7Ltugg4kpMipAFp,Year 2000,Chris Hodge,0,0.246,0.91,5,-4.393,0,0.0689,0.000193,0.000798,0.306,0.523,139.233,2.67,4
78,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,*NSYNC,71,0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,3.21,4
79,7fOzdwtyUz7ZMhQ63nT92R,Waiting Four Years - 2000 Version,Silverstein,21,0.262,0.933,2,-5.204,1,0.289,0.00282,1.58e-05,0.127,0.108,174.993,4.05,4
80,5eGEc27nnhtmcOh6RC890a,Kill You,Eminem,74,0.897,0.559,11,-8.268,1,0.379,0.155,0.000127,0.296,0.677,106.991,4.41,4
81,5ewMJtAuGpsbQyxGagWABX,Year 2000,Day Day,0,0.353,0.39,4,-14.839,0,0.152,0.57,2.01e-06,0.306,0.0893,92.752,1.27,4
82,4uOKFydzAejjSFqYbv1XPt,Red Red Wine,UB40,76,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,3.06,4
83,0AueyG7H7mDo9GPNV6zlE2,Eleanor Rigby,Godhead,27,0.517,0.907,9,-4.384,1,0.0907,0.000328,0.64,0.246,0.264,129.627,4.03,4
84,1VuBmEauSZywQVtqbxNqka,Beautiful Day,U2,68,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,4.11,4
85,0TdxhSVufzDHuvAwAq3QvG,Year 2000,Mioso,4,0.498,0.459,7,-10.988,1,0.0653,0.511,0.816,0.0974,0.153,119.977,4.87,4
86,4y8G3pyyBvBKd47iyvHBNj,My Axe,Insane Clown Posse,67,0.919,0.785,1,-4.141,1,0.0806,0.00411,0.0,0.112,0.801,109.045,3.87,4
87,7BLlYhmGZVREf62BnM5Lsm,Anthem for the Year 2000,Silverchair,33,0.508,0.699,2,-7.902,1,0.033,0.00871,0.0,0.382,0.452,88.28,4.38,4
88,1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),Fuel,67,0.301,0.823,1,-4.072,1,0.0433,0.000144,0.000309,0.0833,0.372,152.017,3.95,4
89,1CGVgBF0e7v6IqxDVaVP3k,Year 2000,Ansel Collins,0,0.645,0.498,10,-15.159,0,0.098,0.167,0.00609,0.418,0.523,89.982,3.11,4
90,2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,Paul Anka,73,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,2.58,3
91,5kanFx39VgnIcu8GtECYie,Light Years - Live,Pearl Jam,29,0.513,0.835,2,-8.029,1,0.0318,0.128,0.0616,0.694,0.545,109.324,5.02,4
92,5gUoppDphfYsIiguGr5drh,Todo Me Gusta De Ti,Aaron Y Su Grupo Ilusion,72,0.64,0.505,10,-5.766,1,0.0362,0.176,0.0,0.0769,0.786,180.625,4.13,4
93,5MmbMvirKqnfhpG96xa0nw,Year 2000,No Ls,0,0.868,0.337,10,-14.756,0,0.0698,0.0979,0.539,0.0719,0.774,130.001,2.72,4
94,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,The Beatles,74,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,2.43,4
95,5EIze4IaCsVCKWJilp2zwY,"2000 Years - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,21,0.251,0.595,2,-8.074,1,0.0501,0.0466,6.8e-05,0.967,0.231,178.106,6.03,3
96,2gSVKxPDww9Eep5rdvtdem,My Way,Limp Bizkit,75,0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,4.55,4
97,2XsDNApc1QDXgCkStRYL22,Year 2000,EQ Why,0,0.64,0.714,5,-7.228,0,0.0397,4.78e-06,0.789,0.254,0.352,160.066,3.1,4
98,5jgEJXjECdlhzNgfITSTVm,Just Friends (Sunny),Musiq Soulchild,66,0.754,0.376,0,-7.561,1,0.204,0.404,0.0,0.358,0.554,95.018,4.19,4
99,5DJSkJtkRsNgTVIQeY3Q8K,"Movin' Out - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,25,0.332,0.98,0,-6.424,1,0.393,0.139,0.00033,0.939,0.319,140.874,5.39,4
100,4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),Ludacris,68,0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095,4.6,4
101,2UhFTzfnU51YtrD8koxpAs,Year 2000,Ultrawide,0,0.457,0.402,9,-16.228,0,0.0379,0.000227,0.532,0.138,0.705,179.284,3.03,4
102,3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,74,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,3.69,4
103,6gzuPIRmowMiriGzgbLQGJ,Move It - 2000 Remaster,Cliff Richard & The Drifters,30,0.547,0.853,4,-5.02,1,0.0364,0.718,0.000256,0.33,0.942,164.279,2.4,4
104,5KDNFlHAdDJ84fhK27c35X,Judith,A Perfect Circle,70,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,4.12,3
105,5Zttlgqwa5K83yF3txv7BI,Year 2000,Casey Watson,0,0.37,0.141,4,-14.963,0,0.0475,0.883,0.0501,0.123,0.174,137.459,3.02,4
106,6xXlurslWqFuyqTCBlErzX,Awake,Godsmack,69,0.395,0.756,7,-4.12,1,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,5.07,4
107,7nMX3JKcyagblwOhHwB5FJ,2000 Years,Michael Prophet,24,0.712,0.569,11,-7.823,0,0.0598,0.18,0.000199,0.0797,0.833,140.174,2.94,4
108,1m2xMsxbtxv21Brome189p,I Wanna Know,Joe,70,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,4.94,4
109,7t7SCPWkWDESbXBIBGtfiL,Year 2000,Herman Nau,0,0.749,0.874,5,-5.246,0,0.0374,0.078,0.0537,0.0341,0.946,101.236,4.63,3
110,7cv28LXcjAC3GsXbUvXKbX,I Will Survive - Single Version,Gloria Gaynor,71,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,3.3,4
111,3PQV4sO783XeAYzY2V6Uzu,2000 Years a Pyre,Lord Of The Lost,29,0.405,0.876,7,-6.303,0,0.0603,0.0016,0.000109,0.241,0.351,167.073,4.35,4
112,3LI4MmibTkXH5cGpCGZgyw,Teenage Dirtbag,Wheatus,72,0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676,4.03,4
113,6xUYZ4SU58SsdZuTQTU0HL,Year 2000,Casey Watson,0,0.37,0.141,4,-14.963,0,0.0475,0.883,0.0501,0.123,0.174,137.459,3.02,4
114,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Limp Bizkit,76,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,5.35,4
115,0zZ2zKZLYUuRSF9SSyCjkR,2000 Light Years From Home - Mono,The Rolling Stones,22,0.341,0.706,9,-10.117,1,0.0627,0.00322,9.89e-05,0.115,0.237,122.953,4.74,4
116,7pv80uUHfocFqfTytu1MVi,Didn't Cha Know,Erykah Badu,68,0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,3.98,4
117,7GmxgS5UPj7W6jdrQ5XFXC,Year 2000,Popsie,0,0.691,0.939,10,-5.545,1,0.098,0.0136,0.0,0.145,0.879,126.126,2.63,4
118,0s7h9yPNJZOh5EYSsNp4R1,Spaceship,benu,71,0.696,0.377,8,-9.886,1,0.232,0.204,0.322,0.11,0.144,81.091,3.08,4
119,0dhCJBcFJFwwX2JUZBuSZt,2000 Years (Tradition),Burning Spear,23,0.745,0.404,1,-13.075,1,0.127,0.000477,0.827,0.0273,0.789,152.588,3.81,4
120,6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,The Hives,65,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,3.33,4
121,3fdDzLrDT02yzNObkamy5g,Year 2000,Royal Flesh,0,0.911,0.285,1,-11.923,1,0.334,0.0392,0.0,0.0831,0.325,95.983,4.63,4
122,0pMUR7Uvp6vxlbG0qBFvgM,Better Off Alone,Alice Deejay,77,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,3.58,4
123,3MB648Hnvl4nPOX6s4nPBF,2000 Light Years From Home,The Rolling Stones,22,0.311,0.63,9,-13.638,1,0.048,0.00199,0.00588,0.167,0.257,122.135,4.75,4
124,7vrLphPq4yjaX7jiDdd2Nc,Dig,Mudvayne,68,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,2.7,4
125,5RSB3xnDvrdnFISBB4v3mE,Year 2000,OXXYO,0,0.826,0.935,10,-4.668,0,0.083,0.145,0.00774,0.076,0.766,119.928,2.53,4
126,0OvwzS8FX73Bw7ykMRmffU,Put It On Me,Ja Rule,68,0.831,0.79,1,-4.714,0,0.165,0.0024,0.0,0.0515,0.791,93.14,4.38,4
127,4qoCUk6biiSxlbdVxxWUqZ,Year 2000 Non-Compliant Cardia,Mogwai,16,0.511,0.519,7,-8.323,1,0.0309,0.000497,0.864,0.116,0.249,98.185,3.43,3
128,5YBVDvTSSSiqv7KZDeUlXA,Renegades Of Funk,Rage Against The Machine,70,0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,4.57,4
129,2m78oCvG20FLei3d0GwGO4,Year 2000,Oxxyo,0,0.826,0.938,10,-4.382,0,0.0834,0.13,0.00831,0.0757,0.778,119.929,2.53,4
130,6hwQ69v7VbPhTTR2fOtYX7,Want You Bad,The Offspring,73,0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,3.38,4
131,6pf52yaQLMD8rSBHJq2EdG,"Next Year - Live At The Chapel, Melbourne, Australia - Feb 2000",Foo Fighters,26,0.547,0.552,7,-8.325,1,0.0264,0.0225,2.09e-06,0.653,0.468,83.62,4.24,4
132,7jtbRKtXtGtsJOBMaBo72W,Me Gustas,Joan Sebastian,76,0.572,0.433,5,-8.086,1,0.0294,0.554,7.37e-05,0.108,0.504,145.375,3.46,4
133,6NeoEQDgQXSIvOQ66scwVh,Break You Down,Godhead,24,0.531,0.937,4,-4.694,1,0.0936,4.36e-05,0.629,0.304,0.222,109.519,3.3,4
134,0rOTMSSa6yscfOrGnzfheM,99 Red Balloons,Goldfinger,68,0.285,0.843,4,-7.318,1,0.129,0.00103,0.00037,0.327,0.282,97.051,3.82,4
135,2hrX8YcZFkCiYM7rYIhEIe,"Big Shot - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,23,0.365,0.983,0,-4.097,1,0.192,0.0571,0.0,0.99,0.496,79.271,4.92,4
136,4bUfMNNmiCmPXVyWzIfKeZ,E.I.,Nelly,66,0.834,0.481,2,-7.824,0,0.188,0.0732,0.0,0.0934,0.406,89.849,4.77,4
137,4mROkmDv7dio2wsBEyZUBt,"Only the Good Die Young - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,23,0.34,0.985,11,-4.087,1,0.129,0.00741,9.97e-05,0.907,0.414,161.833,3.83,4
138,0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,Sam Cooke,70,0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,2.71,4
139,4sSO565goJVs6GcwNpZSce,"I Go to Extremes - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,24,0.434,0.989,1,-4.014,0,0.144,0.00586,0.00268,0.99,0.355,127.851,5.02,4
140,2EduiM2UNwjCC7PsLxnOCH,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),Three 6 Mafia,64,0.944,0.84,11,-4.141,1,0.108,0.00922,0.0,0.0921,0.89,136.019,4.37,4
141,0CTwn879aoGEmWYxwECGJj,2000 Light Years From Home - (Original Single Mono Version),The Rolling Stones,21,0.315,0.711,4,-10.006,0,0.0683,0.00425,0.000476,0.141,0.228,122.755,4.74,4
142,4LlNoNZflek4hZyZigCxpW,Just Another Day In Paradise,Phil Vassar,64,0.596,0.706,2,-5.562,1,0.0261,0.359,0.0,0.36,0.705,146.095,3.9,4
143,6dJoScYzK1f1wnBb21Wjjp,"River of Dreams - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,24,0.406,0.946,1,-5.056,1,0.0999,0.0301,0.00059,0.976,0.441,89.912,5.91,4
144,7H3ojI1BsVy0dEJENqMt1k,By Your Side,Sade,73,0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,4.58,4
145,0m3YZcPwobm48BWX514c6A,"Five Years - Sounds of the 70s - Bob Harris, Recorded 18.1.72, 2000 Remaster",David Bowie & The Spiders From Mars,24,0.599,0.257,0,-9.464,1,0.0425,0.0163,3.08e-05,0.0933,0.703,145.012,4.41,3
